author,comment
@vernando2004,17:39 GTA Cinema of densu kecehh parahh
@จิรวีร์กันธะวงศ์,Gua nyoba Judol maen diGa rudaho-ki gajian gua jdi nambah🙀🔥
@คําตันสันเบ็นโส๊บ,Ges doain ya gw mau coba stop maenGaruda-Ho ki kecanduan bgt gacor nya gw😭
@yukowidyawati,ASIA99 - Event spesial dengan hadiah gadget canggih!
@mhinqcholleno5072,Lu FOKUS bola MULUSSS
@mhinqcholleno5072,Keren luuu bang polll
@TriaMuhamadYusup,gercep
@erlanggapratama1966,kereenn ahahhaah
@ceritasahabatofficial,"Lagi suntuk? Gas spin di 💖🥰𝐀𝐒𝐈𝐀𝟗𝟗💖🥰, hiburan + cuan jadi satu!"
@FarizStore-m3n,10:23 ngakak bjir wkwk gaya nya tengil 😅
@bennyjaya151,reyes GOAT
@achmadfarhan5673,Wagelaaasseeehhh wkwkwk
@salimshak9269,🅿️🆄🅻🅰️🆄777 tempat favorit buat seru-seruan
@yokiadeprasetyo5718,Lucu banget opa Reyes 😊
@jirhansyachdan5855,Wkwk kirain Armuh doang yg dapat wkwk
@adityan7246,editor lu tambah gaji bg sumpah bagus bet😂
@antobae8084,Lope_lope
@kkaleema-cs7zs,"06:00 🅿️🆄🅻🅰️🆄777, permainan seru dan penuh keuntungan!"
@novanrahadian8400,Kudu di adu ini sama armuh
@AnakBangsa-ux3mc,Dari IG langsung ke Youtube nonton full tanpa skip. Thank you Bang Den and Efren Bata Magician Reyes 🔥❤️
@devtaaditya6855,Itu cewek rambut oranye ketawa cempreng siapa ya??timnya bg Densu kah
@naufalsamudra9204,Abah reyes 🤣🤣
@SerraHjhgfdhgjhjghj,sempet kaget kirain orang yang mirip2 beliau smpaii di plototin beneren Efren Reyes.kerennnnnnnnnnnnnn🔥🔥🔥
@Aigaming-y1h,"🅿️🆄🅻🅰️🆄777, hadiah besar menanti!"
@sugiarwangumelar7255,Ahahaha 😂
@aklove.ugaming9820,Saya suka gimana 🅿️🆄🅻🅰️🆄777 selalu update
@DeviedDuanda,Pemain hebat mmg banyak tapi beda dg Efren bata the magician Reyes. Dia memberikan hiburan tersendiri bagi penikmat biliard. Kalo di bola dia Ronaldinho
@mwaliyulhakim,Seperti ketemu messi disepak bola atau jordan dibasket. Beruntung lo bang
@edhyjr1130,Kakek efran udah tua bgt yah
@serenitydeliverrefisis5805,Hiburan yang sangat berkelaz 🤩 billiard yg paling ditunggu tunggu ❤
@suhartonoo406,Sumpah kocak banget .. wkwkwkwk..
@rustamaprilians.9773,Wuih langsung raja terakhir
@VikasKumar-vr6cz,"Tiap hari auto cuaan, top banget P͓̽U͓̽L͓̽A͓̽U͓̽7͓̽7͓̽7͓̽."
@VikasSingh-um5qb,05:00 🅿️🆄🅻🅰️🆄777: Hadiah besar menantimu!
@sugimineowyn6034,Akong Reyes pemain legend dari Filipina. Legenda bilyar sejati 🎉🎉🎉🎉
@bennyiswanto,well played bang densu😁
@mohammadrifai9890,Top markotop... 😘
@anasaceh2588,akhirnya komenan qu diwujudkan juga semenjak effren ryes ke pontiank ke tempat coach apa lupa saya...tinggal densu naungi kembali coach alwi dan efren rayes bertemu bitchmatch kembali❤🎉🎉
@mamatadebbarmadebbarma6688,🅿️🆄🅻🅰️🆄777 punya fitur paling lengkap
@regar0104,"Its tobe honour can played with the Legend Efren Bata ""The Magician"" Reyes."
@johanhingan,Keren editan GTAnya
@MilloGVo,salfok sama thumbnail nya kek banner iklan judol bang densu kwkwkwkwk
@kelzgaming5269,Abah eyess
@RedondoReyhan,"Itu crew densu cewe cablak bgt, malah jatohnya annoying..."
@khairulumam1024,Gokil
@mr.r8691,Gile Bang Densu bisa datengin om reyes
@FaridMakbar,Opa Efren jadi gaada harga dirinya jir 😂😅
@canrasun,happy bgt nontonnya 👍
@Husni-b8g,Tontonan mahal berkelas❤
@ciahoq1,"efren bata the magician reyes dia sewaktu muda gokil bgt cara main nya, orang2 begitu terpukau"
@CARICOAN,akhirnya tau yang suka berteriak hahaha
@sigitnugroho3976,"Sombong mu sepadan sih bang,emang keren kamu ❤"
@rusmanhadi7638,Editornya keren parah siiiii
@MoorProduction,Thx u untuk tayangan keren ini  dan support billiard Indonesia di event The GOAT bareng Efren Reyes.
@KayrulAnwar31,Legend Juara Satu Dunia🎉🎉🎉🎉🎉
@dirmanipin3676,Asli keren lu bang😅😅 ini konten terbaikmu bang sama legend pula..❤
@nardo77,cheat activated  😂
@abdullahferdi2559,"Saat seniman bermain billiard,, 😚👍"
@bebekslowmouth,"Hmm.. 
Legend... Vs calon legend.."
@nadirasafa1189,jadiin algojo bangggggg
@apromefanda8038,Menghibur banget hahahaha
@akustikjawaterbaru,"PEMAIN HANDAL KAYAK GINI, COCOK BANGET SAMA MAINAN KEK GINI, JADI AKU ADA PRODUK BARU NIE BUAT KAMU SEMUA, MURAH BANGET, LANGSUNG KU REPLAY DI BAWAH SINI YA"
@Bambank2378,Tolong adu Efren vs Alwi lg dong bang den.. Sama2 legend kita Duel lagi aja hehee
@bagushenso4235,Wahhhh TAMAT sih ini....udah dateng legenda dunia. 😂😂
@nurhidayat2782,"Di bola ada CR7, di Billyard ada Abah Efren Bata Reyes. The real GOAT 🔥🔥🔥"
@_4rap,19:41 densu taiiii wkwkwk🔥🔥🔥
@BaiAhmad,Harusnya ngajak nuy juga
@ChaJaOfficial,"Favorit dari smua ep billiard densu 👍👍👍👍👍 Bata is very humble and friendly, much respect!"
@Ismunandar-rx4ud,Keren
@derisaputra5075,Coach Alwi vs Efren reyes
@SYD_Production,"ga tega liat abah efren, keliatannya kayak udah tua banget.. 😢
sehat2 ya bah 🙏"
@azzam-sk10,Kelass editor🔥
@RulllRulll-e2j,Sama nuyy kapan nihh
@arieswiraprasetya6467,Ini konten menghibur bgt. Bikin ngakak2😅.. ini baru definisi tong kosong nyaring bunyinya
@revan-nt7gp,ketika guru nya humble murid nya malah nyombong inilah dia Denny Reyes 😂😂😂😂
@VitaminX69,"Densu.....ajgggg😂😂😂😂😂🤣🤣🤣🤣🤣🤣
Koplak banget, gua ketawa sampai keluar air mata 😂"
@SemekKuda,Keren lu bang bisa mabar sama legend👍👍👍
@PrasTyara,Atlet sekaligus legend bilyard dunia
@PrasTyara,Legend bilyard pemain legend dunia
@nanta5101,Percaya ga percaya kl main ma org ga jago y jadi ikutan sama... 😂
@muhammadarzai1679,Seru nih match coach alwi vs efren bata
@trequesta,❤
@kiper4dhandal,"SUPER SUPER GACOR PARAH #KIPER4D SEMOGA SMAKIN JAYA AMINNN!
K3TIK DI MBAH GOOGLE : KIPER4D"
@calungkeun,Berisik banget anying s cewe itu
@olaole8811,"Mau nyalahin meja, tpi sponsor 😂😂"
@revan-nt7gp,podcast nya sih di tunggu yah sama Efren Reyes
@icos-c1s,"Dari set pertama, gua Nggak berhenti-henti ngakak 😂😂😂"
@Jasaricardo00,"Erfan Reyes bicaranya mirip Alm.Bob Dadino ya
Ketawanya juga"
@BentleyEH,hoki setaon dipake
@wildandq,"coo siapa bilang orang sombong bakal kena batunya, ini mala unjuk skill akwowkwo gg lu bangg"
@Always_Happy87,"Iklan hot cream masuk pas kali moment nya , 

Bayaran endrose patut menjadi termahal dengan ide secara komersil dan komedi"
@arofsayabanibani7608,Legend yg humble dan sangat pandai menghidupkan suasana.. Santai tapi pasti.. Efran reyes
@widiways,editor densu emeng the best deh enak liatnya jadi
@DanilKamal-c7j,gas trendingin
@pendikspendiks3756,Kuelazzz😂
@YuaniaZinatay,Seruuu
@cintachita002,BJIRR WD 23JUTA CAIR DI 𝟐𝟓𝐊𝐁𝐄𝐓
@pratamareza7543,Gak nanggung2 bintanga tamu lsg legend
@mikeboo14channel68,"Gebleg u ko Densu, "" Kok om Reyes skill nya kaya anak nongkrong ?"" 😂"
@wijiputri2344,GELOOO GELOOOO😮
@bayulistiantaraaji3296,Gile loe bro.. salah lawan loe 😂😂😂😂😂😂😂. Juara Dunia lawan loe. Legend lagi
@indrakusma2008,"Wehhhhhhhh....
Anjerrrrr tarung lawan Efren....
Mantaplah... 👍🏻👍🏻👍🏻👍🏻👍🏻"
@YadiBro,Kakek gw legend banget nih
@gotienmarten8738,14:46 njaayyyy ngakakkk malah mundur bolput 😬🤣🤣🤣🥳🥳
@Ricoginting-c1g,🎉 mawar
@JohnLavigneTopVideosGallery,Hahahahahaha
@arissetiyantoro7051,Salut ama bang densu❤
@yandisaputra2669,Ngeriii mantapp😂
@Babayaga190,Sangat menghibur 😂😂😂🎉🎉🎉
@luqmanmuhamad3630,Pakai stik standar aja sudah bisa menghibur. Gimna kalau mode serius+ pakai skin full power opa.
@februantojgu6626,Damn efren reyes...❤
@bujangrimba747,"Legend akhirnya datang juga ,, mantul👍"
@aakmalmuslim,"sering"" maen makin jago aja 😂"
@ief4r,Humble bgt ya kong Efran Reyes...👍👍👍
@rudi2334,"Efren Bata Reyes 👍👍👍, saya juga main billiard karena beliau"
@rizkyaprilia1925,"Paket komplit nih, Yang maen legend... Editor pro... Mantap"
@entitasofficial,Bukan yang paling jago disini tapi didunia kalau di muaythai tuh bisa dibilang dia rodtang nya
@yuddhitse6301,Mkin keren aja yg di datangin legend
@DwiyantoSinaga,Trik shoot nya sadis emg legend 🔥♥️
@ekosandono,Buset masih sempet2 nya sombong😂suek bener
@rehanmasrullah_,🔥🔥🔥
@Lanjar-k3k,Bang densu sekali2 main di salah satu Camp pelatihan volly donk 😅
@antoazza-v6i,Kakek bukan sembarang kakek
@santolee6645,Luar biasa
@Dodi_0530,Wow ada legend😂😂😂
@kangshomae_berht,"Bisa maen billiard bareng Opa Efren Reyes, ibarat lu bawa laptop ke rumahnya Bill Gates untuk di install Win 10 ori 😂"
@yudhamardiansyah7359,Kereeen...
@PaperClawXX,next lawan arif muhammad bang wkwkw
@luthfijm2380,"selama efren reyes ada dikonten2 lain di indo, cuma disini dia kelihatan terhibur bgt wkwkwk panjang2 org tuaa"
@AgusAkbar-dc1vn,Baru buka langsung iklan judol e😂
@ardhysinggihharvansyah346,Bisa aja lu bang Den 😂😂😂😂😂
@mdsadab9584,kayaknya ini yutuber di sponsorin 𝓟 𝓤 𝓛 4 𝓤 𝓦 𝓘 𝓝 deh
@pawanbaba7999,jangan di googling ᑭᑌᒪ4ᑌᗯ1ᑎ yagesyaaa
@bryanpratama121,Mantap+ ngakak 😂🤣
@okadenysilvana5096,Hebat... bang densu ketularan jagonya... ❤❤❤
@NayaA-Ri,Kakek2 legend
@yogaandrean3096,Legend❤
@FaizMuhammad03,muantaab
@rizkiawan8080,ko ga ngajak nuy bang
@sonikabagas1389,Keren abiss
@Axgodd-df1nf,😂😂
@Viggo1945,Editor nya edann 🔥🔥🔥🤙🏼
@fachruchizrin3122,Hoki lu bang🤣🤣
@boendahbandofficial8628,wkwkwkwk keren kerenn legend efrennnn
@bedhoelayis,Gila sih trick shoot challenge very amazing 👏🏽👏🏽👏🏽
@bintangkurniawan3876,"Keren sih ngundang legend BL , gokil ❤"
@AlexanderAditya-w5l,Kebanyakan BACOT
@nileshyadav8869,hapuslah itu komen 𝓟 𝓤 𝓛 4 𝓤 𝓦 𝓘 𝓝
@Bang.Borju20,"Membanggakan, berkelass, kerenn"
@SupriYadi-vk3vq,"Woww keren,,,sekali"" undang siviliana lu bg Dendy👌👌"
@LatipIin,Salut gw bnr SMA bng densu👍
@CloudStrife-q4t,"Behh efren reyes
Menyala bang densu😂"
@indrawidi5122,Efren bata the magician reyes
@SayutiPutra-kd3uf,Legenda billyar di kasih piala besi
@khalimfazaa,Canggih
@akira8728,harus lawan armuh si bang buat cari siapa yg paling sombong😂😂
@617ralin,emang kalo dah bisa basket bisa semua sih ..tapi kurang ajar ni densu ma orang tua😢
@andreantobang7391,Mantaaaap Bang ❤Saya fans beliau ...
@Kahanjak_Aquatic,"Bang, pemain pro luar yg cewe bang"
@Mielidi516,Wow ngundang legend from Philippines Efren reyes
@jonathanoctavia06,Ini baru mendukung biliard tanpa koar'
@polanababan8323,kelass kau bang densu...😂😂  konten berkelas ini..😊
@natonis3,Sadisss🔥🔥
@ardyansyahtahir,Dalam hati efrennn..sombong amat ni orang hahhahaha..
@ariffadhilah9208,"Liat dia teriak yeee humble bgt, true legend"
@tanzgaming137,anjirrrrrrr 4 bola masuk segala sisi sih cantik banget sumpah itu
@muhammadshidiqzhafran807,gokilll
@marcelinoriomartino4537,Asli beruntung banget lu densu😅😅😅🎉🎉🎉🎉
@SuryaIndrawan-h1j,Intinya siapapun lawan nya. Mentallah yg bicara
@ahmadfhami138,Mna vid sama andi cobra ban
@ruthmonicabella438,KERADDDD BOSSQUUU
@diaska7175,Gila lu bang nantangin efren reyes
@noy-dl4sg,gercep
@chleragaming1140,Gw orang pertama komentar
@suryadidodi,Jago banget Efran reyes 🎉
@pimen_cie,"Gokiillll lu bang,, lgsung Efren Reyes yg di undang ,,"
@ahengnurrohman4230,👍👍👍
@yakubalvino9230,Emang mantap lejend satu ini
@GambyMby,Kelas
@ardifardiansyah8321,Next ajakin bustamante dong
@ReinerSeptian-p7m,nuy mana
@deryzubandi4072,Konten gokil ko densu sering sering apdet bl 🥳🥳🫶
@Troy-x5r2v,"Bang Densu, bisakah undang idolaku Sarac Bojana"
@aldotw1479,Geloo🎉
@shaqpardilbiscione8360,❤❤❤❤🎉🎉🎉
@shaqpardilbiscione8360,Ini baru aselinya konten BILYARD sesungguhnya. MANTAP BANGET Bang DENSU
@NurHadi-h7l,Mantap...bali hadir
@deso1993,Mantab ..lo bang. 😂😂😂. ..
@SegoBerkat99,🙌🏻
@ervanfadhlurrahman7190,🔥🔥🔥
@hadisophian8356,Pertama bang
@SuryaAhua,..😊
@abdmuhsinhadi8851,Anjayy Efren reyess
@rizalmuk,"kalo kalian jadi gubernur, kalian punya kebijakan apa?"
@rizkimaulanasubarkah2505,Anak nakal disuruh langsung baca sya yakin tambah brutal.. 😂
@tetehBojong-o2m,Mabok d taman balik langsung tauran 😂😂
@zahracalyaofficial825,Di jabar klo malem anak sekolah dah ga boleh keluyuran diatas jam 9. Lah di DKI taman dan perpus buka 24 jam😮
@gugungunawan418,"Apa yakin bocah2 yang sering tawuran yang udah jelas2 sering bolos atau minggat pas jam sekolah mau ke perpus? Logika ajah gak sih mreka udah males sekolah malh di suruh baca kan aneh gk masuk akal, yg bikin kbijakan skolah gk sih mikir ke situh gk sih aneh"
@LanzKillua,kalau anak di barak tu penuh tekanan dan otomatis trauma dan lebih buruknya itu bisa merujuk ke bunuh diri karna terlalu tertekan
@abdillahbedil9996,Yg nakal kirim ke taman untuk pacaran kali untuk uhu uhu😅😂😂😂
@rudysambas828,dikiranya di barak gada guru sama psikolog nya kali 😅
@KurniaAzzahra-y4q,Perlu di apresiasi  kebijakan terobosan  ala KDM.
@rezamiftah_febrian,kalo gw murid kurang ajar digampar gamparin kaya jaman gw sekolah dulu buktinya pada hormat ama orang tua😂😂
@ahmarabyyad646,"w dulu gak pernah ikut tawuran aja males baca 😂 , buka 24 jam gas mabar gak wih.. 🤭"
@solehsobari5047,"Kurang jelas apa ya
Itu kan udah d paparin semua sm kdm,kegiatan2ny,dr bngun tidur,smpe mau tidur lg,jngn mentang2 dnger kata militer trs tyh anak d latih secara militer,d siksa woiiii oon,cek sndri ksna,klo prlu lu(yg nyinyir)ikut jg d latih dsna.
Ad yg nyinyir,cm d latih iya,iya doank ga berani bertanya,ad jg yg nyinyir d latih patuh,hormat doank .
Halloooo para penyinyir biadab.msh mending jd punya rasa hormat,rasa takut,drpd ga punya rasa takut akan dosa/akibat fatal yg d lakukan drpd berani bentak2 orang tua,bentak2 guru,bahkan berani menyiksa bahkan membunuh,menusuk orang tua kandung sendri,saudara kandung sndri...
Alih2 buat memdisiplinkan warga jakrta,bikin kebijakan bikin taman,dn perpus smpe mlm.
🤣🤣🤣Ngakak gw,malah d ksh fasilitas buat nongki,buat pacaran,kumpul2 ga jelas,jngn2 d sediain wifi, iar pd mabar dsna.kan kata si ono,ono,noooooh hrs ngedukung anak yg cita2ny jd gamers...
Anjiirrr😂😂kocak bngt.bner sesuai judul pngen ngikut jabar tp gengsi.....
Catet nich para penyinyir bapak aink.
Lu bilang mereka bisa trauma,mereka ga ad yg ngawasin,trs bs jd tmbah nakal..
Catet nich.
Kdm udah menjelaskan,dsna(barak militer),sudah ad pendamping guru bp,bahkan dokter psikilog,kurang apalgi?trs nyunyir bakal tmbah nakal,dsna mereka bner2 d latih disiplin,otomatis mereka jd ad rasa takut untuk ngelakuin kesalahan yg sama.
Faham wahai para penyinyir kebaikan .."
@gonell1043,"Anak yang suka Aksi, tiba2 suruh ke perpustakaan, kebijakan macam apa? 😂😂 Kurang literasi sama observasi nih yang bikin kebijakan 😅😅"
@nurfajar134,"Gini nih bang, dari judul elu itu seolah olah membenturkan. Tiap tiap daerah dan pemimpinnya itu punya cara yang berbeda dalam menerapkan kebijakan terutama dalam konteks ini. Gubernur jabar, mengirim anak anak nakal ke barak, itu kebijaka yang memang sudah direncanakan dari dia sebelum jadi Gubernur atau pada masa kampanye. Dan itu dia realisasikan. Dann utk gubernur Jakarta, itu juga cukup bagus di kirim ke Perpustakaan agar mereka bisa mendapatkan ilmu pengetahuan. Serta bisa juga mendisiplinkan diri, sebab di perpustakaan juga terdapat aturan yg betul betul ketat, serta taman bermain atau ruang buat mereka mengekspresikan diri. Dan itu pun bagus. Bagi gua kebijakan dua gubernur sangat layak dipuji. Mendisiplinkan dengan cara yang BERBEDA, yang ada kemungkinan Indonésia emas 20245 aka tercapai! Harusnya slaku Masyarakat kita dukung kebijakan yang nagus, dab kritik kebijakan yang bertentangan"
@blu_game,Hilih kintil
@samaxserikat2893,"Orang bandel masuk perpus bukan baca buku , tapi molor 😂😂😂"
@jimbo_069,"Masuk barak kan tetap belajar, tetap berpikir, tetap tanya jawab, ada psikolog.. bonusnya ya disiplin.. all in ga sih?"
@MaruZia.12real,"perpustakaan buat orang rajin belajar,mana ada ""bibit preman"" suka ke perpustakaan."
@RomyAfrizon,Hadir bos
@ErwinYans,Expor ke Palestina bang
@sofyanthohuri2458,yakin bang bakalan baca buku di perpus ?
@OrangBijak-f1v,kemaren saya cobain bawa umpang 30K di 🎀𝐇𝐎𝐊𝐈𝟕𝟕𝟕🎀dapet besar !!
@AbdulHolid-y7i,Gue ga peduli jakarta kaya gimana . Gue warga Jabar Sangat bangga punya pemimpin seperti KDM tidak hanya mengkaji program dengan baik pastinya tapi sesudahnya anak akan menjadi lebih disiplin dan baik kedepannya.
@Cah_bandung,"Ke perpustakaan bukannya baca malah tidur aja lah....dirumah aja males baca baca apalagi di perpustakaan yang bukunya banyak
Apalagi taman ...malah bobogohan atuh...sampe malam juga...haddeeuuhh...Mabar nanti nya mereka"
@ToniMihardja,"Logika nya aja,,anak nakal,suka tawuran,mabuk dan merokok disuruh ke perpustakaan(ngakakkkk njir...boro2 baca buku pelajaran tuh anak,,"
@satfamily89,"Sebetulnya anak2 ini kebawa lingkungan yg gak bener, tentunya bagaimana caranya menciptakan lingkungan yg positif. Yang nakal2 juga itu sebetulnya kurang perhatian, karna memang orang tuanya yg sibuk, mau itu yg orang tuanya 22nya kerja/sibuk yg lain sehingga anak kurang perhatian. Memaang ada juga faktor ekonomi. Yang selanjutnya makanan yg dimakan sama anaknya, secara syariat biasanya anak yg nakal itu suka dikasih maka yang haram. Jadi pendidikan berbasis barak dan pendekatan agamis lebih dipilih, dan jugaa kontrol dari masyarakat harus kompak. Klo ada yg aneh2 yang dilakukan anak2 klo bisa jg dibiarkan, jangan cuek karna bukan anak kita didiamkan, harus sama2 ikut mmemerhatikan dan menjaga."
@baongtapikasep9726,Punya bini tiap kabupaten dn kota😅😅😅
@wanhay666,Lah kan setiap sekolah udah ada dari dulu perpustakaan 🤣 sekarang perpustakaan di taman sampai malam 😂 yang ada gadang ngopi bukan belajar terus skidipapap pulang nya 😂 alesan udh di perpustakaan
@initokyo-s9s,"Yakin ni,, apa yakinnn ,,beneran yakin nih ,,kalo yg suka tawuran yg suka mabok yg suka narkoba ,,apa pada mau baca buku ,,boro2 kayanya sih...."
@Hadad-Alwi-short,Kayaknya Bukan Pelatihan Militer Tapi . Berolahraga ala mitiler
@muhamadadi278,Menurut saya sih bang perpustakaan ga efektif oramg buku paket sekolah aja dipake jadi tameng dibalik baju pas tauran biar kebal kena sajam bukan haha malah di kasih lagi buku makin bagus dah tu buku dipake tameng lebih banyak cadangan
@DeniTirta-u2q,KDM Gubernur terbaik di Indonesia
@alijatijepara,Di kira di sekolahan g ada taman sama perpustakaan... Anak bandel males kebegituan
@VynIdil,"Jelas lebih milih ke barak,,soalnya barak bukan cuman latihan,itu ini doang,,barak juga yg asalnya orang nya kg di siplin,,pas masuk barak 100% lngsng di siplin,,kalo cuman ke perpustakaan,baca buku,,ya di barak juga pasti ada lah kegiatan kyk gituu"
@23_muh.abdulhamidmahmud64,"10:43 
Itung itungannya sangat mencerminkan pengelolaan uang di negeri Konoha 😂🥲"
@dhoycustom9478,"Kalo mnurut saya anak2 tauran itu mnding di skap di kamar, lampunya di matiin, lalu di puterin film siksa kubur"
@tobiramasenju6105,di barak bikin trauma alasan macam apa ini. tawuran aja berantem gebuk disi kebuk sana real war mereka ga trauma. apalagi di barak yg cuman latian dan olahraga ga ada lawan
@maulanayusup2545,"Klo di suruh ke perpustakaan mh ,,klo di posisi gua pasti stres coo  harus baca buku truss gua yakin malah berontak"
@nazilahnikmatinrohmah2995,"Kemarin baru aja ada tawuran di daerah rumah gw, gimana ini, katanya bakal berpengaruh mengurangi tawuran, di bayangan gw yg tawuran bakal tertarik ke perpustakaan atau taman berkat ide brilian pemimpin kita, jakarta ohh jakarta😂😂"
@mgachanel,Masukin barak
@fensjabar,Baca berita yg bner. Bukan kaya militer latihn nyh.
@synst12,"Bang lu kalo mau ketawa ketawa aja bang, pake di tahan2, gw tau lu geli kan, gw aja geli dengernya wkwk"
@rokimahmad1303,Main ke taman sambil bawa anggur merah
@kusnadi1864,"Klo kata gw mah, bagusan kebijakan nya ahok dulu, pelaku tawuran langsung dicabut KJP nya. Makanya ke kontrol langsung. Mungkin pramono mw nyapres kali karna dy berpikir pelaku tawuran adalah pemilih di pemilu 2029 nanti jd jgn dikasih hukuman dan jg jangan dididik harus dielus2"
@muhammadnell6113,Awas tamannya di jadiin tempat tawuran
@muhammadnell6113,Anak nakal mana yg mau masuk perpustakaan 😅😅😅
@cumahobii,"kl menurut ku bagusan kang Dedi Mulyadi , jujur gue jkrta tp bisa ga sih pak Dedi jd Gub Jakarta aja 😅"
@HardiPriadika,Nah gini ni gw suka sesi fokus
@anakumichan776,Pertanyannya bocah tauran dimasukin perpus ngapain cok
@dksportschannel8848,"Kenapa pendidikan di barak diragukan, dianggap g baik. Berarti yg TNI itu g baik? Secara g langsung yg anggap pendidikan di barak g baik, berarti menggap TNI g baik. Tandai orangnya😂😂😂"
@ariefwibowo9681,"Sekolah aja bolos malah di suruh ke perpustakaan,, 😅😅😅"
@ZulkaharKahsr,Perpustakaan sampai malam sambil bawa gebetan bawa Snack sambil ML
@dksportschannel8848,"Kayaknya pilih perpustakaan, tp yg dibarak😂"
@AlviNo-f4j,"kita bicara realitas nya aja.. sudah ada berapa anak ""nackal/tukang tawuran"" yang sudah pergi ke perpustakaan?.. gabut bener sih ini yang bikin kebijakan.. kocak"
@cukurukuk_aja,Otak yg niat membenahi dan otak yg niat mau KORUP. jelas beda.
@mobilknjchannel5733,"Jabar melarang anak remaja keluyuran malam 
Di DKI membuka taman 24 jam"
@RaniYulianti-p5f,Klo pake logika aja ya.. Anak yang suka tawuran.di kelas apa dia seneng baca buku?.. 😂
@JR-AF30,Saya sebagai warga jabar sangat bangga sekali punya gubernur seperti KDM 😊
@ianneurotic4180,Anak tawuran disuruh baca di perpus & taman.. 😂😂😂😂😂😂 ngakak
@wenwen-j6n,"Mungkin di perpustakaan lempar""annya biar dengan kata""😁"
@anggapurnama-k3v,"Di kasih taman yg ada pacaran melulu😂😂😂😂😂..
Korban sinetron😂😂😂"
@clief28,"Bocah FF mana bisa ke perpus, malah mereka Mabar di perpus"
@misterwinner5530,"Menurut gue sih ya bang, semua kebijakan itu harusnga tergantung dari anaknya..kalo anaknya itu nakalnya udah keterlaluan bahkan orang tuanya sampe gak sanggup didik..ke barak militerlah solusinya..

Tapi kalo anak itu kaya masih umur SD atau SMP yang masih bisa di bentuk jadi anak yang bener dan di bentuk minatnya..lebih baik ya di taman dan perpustakaan itu..jadi harusnya setiap daerah punya 2 kebijakan tersebut biar bisa ningkatin kualitas anak anak di daerahnya.."
@guide-ww7nr,"Dulu LDKS di didik TNI, jemudia kuliah di didik TNI 😂"
@PETANIKECIKoficial,"Perpustakaan nya udah bener bang,,tapi KLO anak nakal di arahkan ke perpustakaan apalagi buka 24 jam..memang anak nakal akan berubah,,berubah menjadi anak nongkrong,anak begadang,anak tidur pagi bangun kesiangan dan masih banyak lagi dmpak negatif dari sering nya begadang (simak lagu bang haji RHOMA IRAMA)😅😅"
@AnggaMuhamadmaulida,"🦁: Bro tawuran yu
🐮: Ah kaga ah mending baca buku ke perpuss 

😂"
@geztavghuevara5471,Iya perpusnya buka sampek malem nanti pas pulang malem tawuran 😂😂
@nikenayukpuspitasari5770,"Pajak di jabar di diskon, jateng malah makin naik"
@andriyhaposann9397,"di daerah udh disediain taman buku, hasilnya? umm"
@zai9435,Di bawa perpustakaan lebih bagus menurut saya jadi kaya di kumpulkan yang bandelnya terus di awasi di perpustakaan biar pada baca buku itu lebih masuk akal ketimbang nunggu kesadaran siswa nya langsung
@NGAJOAKS,Gengsi ngikut jakarta
@YayanMulyana-fp6vs,Melanggar ham sama kpai gubernur dki di suruh ke perpu dan taman sampai tengah malam.😂😂
@bukanjongosimigran-h7j,"sekalian yang tawuran kasih seragam sorban ala habib habib, biar tawuran kelihatan islami😂😂 gubenur dki tau, warga dki masih bisa di bodohi asal pake kedok agama,,, miris, tapi itu fakta,,🤦"
@playkaytv9226,Jakarta udah banyak perubahan bagus jaman Ahok dan Anies. Gubernur cukup merawat dan ningkatin kualitas aja. Kalo Jabar krn gubernur sebelumnya problematik jd baru kerasa efeknya
@Imanchebuah,pertanyaannya apakah anak2 yg suka tawuran itu apakah punya minat baca tinggi atau nggak......? kalo menurut gua anak yg suka tawuran pasti banyak yg ga suka baca buku tp lebih suka lihat medsos........ jd perpus itu ga akan ngefect buat anak2 yg suka tawuran tp akan lebih ngefect sama anak2 kutu buku........
@sintafebriana3051,"Klo menurut aku apakah anak nakal di indonesia ini bukan sepitas nakal melawan orang tua atau bandel layak nya anak nakal umur sd 7 smpai 9:tahun..anak yg udah masuk remaja di indonesia ini bandel nya itu sudah melampaui batas normal terkadang..jdi klo cuma baca buku g bkal mempan....klo aku dukung kdm sih bagus di barak karna bisa di didik disiplin,dan bisa menghargai orang lain dan orang tua .."
@amiackerman46,"Yang nggak ""Nakal'' saja malas baca. Apalagi yang sukanya tawuran atau main game. Udahlah, nggak akan fokus. 😂"
@rianramadhan5438,nah nanti tuh tawuran nya pada janjian di TAMAN !
@Agungjepang22,Diperpustakaan di taman jafi tempat tawuran. Buktikandah😂😂
@PEKIQ-xt7ug,"Antara ISTIMEWA & PROVINSI  berlomba² dalam kebaikan.
Semngat Manusiawi memanusiakan manusia."
@mangolengchannel4617,"Ajak ke taman atur strategi perang 😊😅....abis tawuran pulang ke perpus 😊😅
Salam sehat dari bogor timur ah"
@Miftahudin-i3y,Melarang punya handphone anak sebelum usia 15 kira2
@arifsutrisno1192,Jd tawurannya di taman sama di perpustakaan dong...
@ghaunkbhadoegh515,"Baguslah, pejabat bersaing untuk mempersiapkan penerus bangsa yang baik dan kompeten 
Daripada yang cuma protes akan kebijakan pemimpin daerah, tanpa kasih solusi"
